GENE_ID	SYMBOL	ANNOTATION_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0003358	Jon99Ci	CG31039	1071.54168890423	-1.99364002780978	0.0499021722966418	-39.9509667827414	0	0
FBgn0003517	sta	CG14792	979.619838311516	-2.07193468156093	0.0488263410042498	-42.4347726851085	0	0
FBgn0013675	mt:CoII	CG34069	3116.77874885676	-0.996791747266047	0.0264137775642076	-37.7375687685342	0	0
FBgn0013676	mt:CoIII	CG34074	3235.63942705743	-0.994586923822838	0.026383080506005	-37.697907323463	0	0
FBgn0013686	mt:lrRNA	CR34094	36371.6737957414	-0.939548194829902	0.0155509509421194	-60.4174110205155	0	0
FBgn0039757	RpS7	CG1883	1504.1600863797	-2.04665379107204	0.0446617484895704	-45.8256530540891	0	0
FBgn0267910	lncRNA:CR34335	CR34335	5607.71536373916	1.04760773756634	0.0206795542335216	50.6591063683647	0	0
FBgn0033774	CG12374	CG12374	3037.44373753008	-1.01143104018496	0.0270373777474696	-37.4086218579247	2.82960725484343e-306	3.10832356944551e-303
FBgn0031653	Jon25Biii	CG8871	2861.5420507318	-0.977182473914742	0.0284176246816714	-34.3864937643786	4.01389957013021e-259	3.91934993581158e-256
FBgn0015222	Fer1HCH	CG2216	767.866733730495	-1.9550859586992	0.0576634906413761	-33.9050920600415	5.60458522373328e-252	4.92530949461681e-249
FBgn0010265	RpS13	CG13389	665.768221147787	2.03656846671295	0.0605877124418083	33.6135560270406	1.06326002074113e-247	8.49448096570281e-245
FBgn0030777	CG9672	CG9672	656.472516988231	1.94947908959186	0.0588052521118872	33.1514451444344	5.39819330559285e-241	3.9532768974625e-238
FBgn0013672	mt:ATPase6	CG34073	1979.34896122808	0.95830446384771	0.0322839360077764	29.6836316246222	1.24908451174931e-193	8.44381129942531e-191
FBgn0285948	RpL27A	CG15442	1133.31231803681	-1.0572473530613	0.0418907165748416	-25.238225542703	1.52528890738383e-140	9.57445637006364e-138
FBgn0035926	Acbp5	CG5804	1386.45958431414	0.987123692667834	0.0398849797398398	24.7492589718387	3.15776611503237e-135	1.85002990792697e-132
FBgn0037001	ND-39	CG6020	360.03912539117	1.87974539592937	0.0799229980084946	23.5194555105351	2.5794303566831e-122	1.41675212340819e-119
FBgn0002590	RpS5a	CG8922	338.677472447717	-1.96167405488374	0.0872169070094212	-22.4919011937885	4.98187862057633e-112	2.5753381951544e-109
FBgn0010217	ATPsynbeta	CG11154	309.981720716296	-2.01309828168964	0.0901372783085799	-22.3336927791176	1.73943611631041e-110	8.49231366118659e-108
FBgn0033699	RpS11	CG8857	942.322529061438	-0.971674480219269	0.0447421303117482	-21.7172153728257	1.41075089613241e-104	6.52509414484824e-102
FBgn0028533	CG7953	CG7953	818.553600258604	-1.00333842889481	0.0474561001807536	-21.1424542908759	3.23794321621703e-99	1.42275224920576e-96
FBgn0261822	Bsg	CG31605	253.774205872304	2.12152797576825	0.101151888530652	20.9736862710711	1.14073827391755e-97	4.77371807199401e-95
FBgn0003274	RpLP2	CG4918	1036.35403299642	-0.950171553038345	0.0460500788739215	-20.6334402952876	1.37510471168375e-94	5.49291827558034e-92
FBgn0028737	eEF1beta	CG6341	244.665540707572	1.95684785869797	0.10136506748127	19.3049529519581	4.87997424418788e-83	1.86457450686622e-80
FBgn0260960	Baldspot	CG3971	212.420669802512	2.01977047490681	0.105727689410493	19.1035147572832	2.36048989447219e-81	8.64332716359232e-79
FBgn0000078	Amy-d	CG17876	631.703129821932	1.05179808424973	0.0554640738644249	18.9635923033841	3.41035693011593e-80	1.19880866807435e-77
FBgn0039471	CG6295	CG6295	584.157039965294	1.07492012871264	0.058484623787731	18.379533954327	1.91607725374088e-75	6.47634111764419e-73
FBgn0024733	RpL10	CG17521	650.981379108871	1.01263893638682	0.0553477771294777	18.2959278385815	8.9169947350096e-75	2.90231665671349e-72
FBgn0285950	RpL19	CG2746	576.979941404468	0.971185833213341	0.0572626630052639	16.9601932960062	1.61811273559115e-64	5.07856240013395e-62
FBgn0039359	RpL27	CG4759	546.719342252212	0.9817823644598	0.0580804366659434	16.9038392411999	4.21543883465878e-64	1.27742332686143e-61
FBgn0002579	RpL36	CG7622	549.263063769483	-0.995881529172621	0.0589513829900593	-16.8932682943257	5.04303790642937e-64	1.47727390405671e-61
FBgn0040007	RpL38	CG18001	524.246644078331	-1.00713241651516	0.0600001754222196	-16.7854911994505	3.11640143888957e-63	8.83449543385855e-61
FBgn0086472	RpS25	CG6684	686.10378930752	0.878688830316626	0.0527489704033823	16.6579332941878	2.65025310960185e-62	7.27825760224409e-60
FBgn0002626	RpL32	CG7939	498.445374977268	-1.10513868102224	0.0664976038874372	-16.6192256023682	5.05817641601597e-62	1.34700770739237e-59
FBgn0028473	Non1	CG8801	154.374455667341	-2.08634583787314	0.128677399730125	-16.2137705785852	4.03062567471745e-59	1.0417981891005e-56
FBgn0029785	RpL35	CG4111	547.010695266788	0.950003143248531	0.0589448126997494	16.1168235123185	1.94345410075737e-58	4.87973561070166e-56
FBgn0038353	CG5399	CG5399	582.321892927879	-0.990112045968946	0.0622617576142157	-15.9024107880771	6.09724970659447e-57	1.48840640059867e-54
FBgn0051266	CG31266	CG31266	172.660235605496	1.91178469128822	0.12218772254287	15.6462912271523	3.52153266553395e-55	8.36411596343576e-53
FBgn0036825	RpL26	CG6846	412.984394115094	-1.0474166089023	0.0677691775159041	-15.455648825847	6.91121516559867e-54	1.59830944408634e-51
FBgn0085317	CG34288	CG34288	139.321356358477	2.01980028359499	0.135904766781223	14.8618796193251	5.82671609574722e-50	1.31295336024171e-47
FBgn0039830	ATPsynC	CG1746	478.101829939591	-0.97762294168895	0.0664061514448475	-14.7218732062932	4.66555398209666e-49	1.02502220986664e-46
FBgn0035666	Jon65Aii	CG6580	360.357075249493	1.08147676931897	0.0741923194414172	14.5766674699112	3.9535009496869e-48	8.47399179167036e-46
FBgn0030136	RpS28b	CG2998	466.605533178867	0.933368089815781	0.0641071009111345	14.5595117631293	5.08194546616628e-48	1.06333658944451e-45
FBgn0011272	RpL13	CG4651	326.303532056421	-1.14067233055088	0.0784997956849196	-14.5308955341652	7.72044695740404e-48	1.57784390375969e-45
FBgn0031801	CG9498	CG9498	128.061417547908	2.00025481634007	0.138580819709824	14.4338503735829	3.16885361862508e-47	6.32906490919937e-45
FBgn0003942	RpS27A	CG5271	392.799964702856	1.04257102435131	0.0723673636475744	14.4066464743497	4.69982680269614e-47	9.17823954268749e-45
FBgn0013705	mt:tRNA:Ser-GCT	CR34080	339.687031703896	-1.02293795540755	0.0747174824654084	-13.6907444102006	1.15321708303542e-42	2.20314602732941e-40
FBgn0004867	RpS2	CG5920	368.054153099073	0.971144339006947	0.0715441729422116	13.5740522123496	5.7077234653339e-42	1.06722284709265e-39
FBgn0010412	RpS19a	CG4464	382.906644282723	-0.972335334857644	0.0717833580742259	-13.5454144378732	8.43365658824348e-42	1.54406196036424e-39
FBgn0031980	RpL36A	CG7424	427.155159066431	-0.914251552167662	0.0675490511186337	-13.5346320492644	9.76702683953611e-42	1.75168636460905e-39
FBgn0031228	ND-15	CG11455	100.111549445202	2.10669695376017	0.160366661696718	13.1367513139627	2.0274584555673e-39	3.56346098150509e-37
FBgn0052441	EMC10	CG32441	116.888066424084	1.93254314505784	0.152725594606586	12.653695341871	1.06733935083482e-36	1.83917219904636e-34
FBgn0267828	Fatp1	CG46149	84.6351366214379	2.19246339001081	0.173622013099326	12.6277961582933	1.48375783429057e-36	2.50755073995107e-34
FBgn0015756	RpL9	CG6141	280.516594257511	1.06036973736961	0.0847692906314324	12.5088900646813	6.67503999469797e-36	1.10679719761143e-33
FBgn0017579	RpL14	CG6253	326.248434154478	-0.957124240074479	0.0770128369948846	-12.4281129928775	1.8392481501678e-35	2.99320606364346e-33
FBgn0262116	RNASEK	CG40127	242.495997207452	1.10221851691742	0.0900530097613729	12.2396632809735	1.90822629041659e-34	3.04899866185109e-32
FBgn0000579	Eno	CG17654	109.838027735598	1.82797756748219	0.151223095785676	12.0879522931664	1.22296921187893e-33	1.91918811321286e-31
FBgn0035620	Alp9	CG5150	98.8392354135115	-1.93984374315184	0.160668431567587	-12.0735836170519	1.45650530728093e-33	2.24557344568155e-31
FBgn0052483	CG32483	CG32483	93.100572163231	-2.00268020619786	0.166347890464985	-12.0391079237606	2.21336130533938e-33	3.35362399160732e-31
FBgn0000253	Cam	CG8472	209.216243699147	1.1204228310794	0.0959576474645881	11.6762223823054	1.68624207256591e-31	2.51164327689987e-29
FBgn0040827	CG13315	CG13315	339.155858775109	-0.916786394748745	0.080256111726637	-11.4232595502688	3.20002509692128e-30	4.68697009195737e-28
FBgn0000116	Argk1	CG32031	247.045028621491	-1.04526653736744	0.0935947953445786	-11.1679985358073	5.84838340595754e-29	8.42550711009096e-27
FBgn0259209	Mlp60A	CG42309	188.653776725583	1.19131330273611	0.109987747401434	10.8313274058431	2.4458370581973e-27	3.46677678507062e-25
FBgn0038194	Cyp6d5	CG3050	220.89488827225	1.02882384320801	0.0963706021015419	10.6757021412399	1.3225385816963e-26	1.84483635808684e-24
FBgn0003721	Tm1	CG4898	204.39858539639	1.02796535189153	0.09829972470941	10.457459112224	1.35438957868969e-25	1.85974619023827e-23
FBgn0264750	CG44008	CG44008	216.306170663328	0.943598251892378	0.0923020017085592	10.2229446211986	1.56512865469869e-24	2.11605394115263e-22
FBgn0263235	Phae2	CG16997	155.911343220457	-1.16332251010843	0.114501015055045	-10.1599318534354	2.99285562241593e-24	3.98503260754413e-22
FBgn0069923	CG41128	CG41128	186.227948820464	1.11993311870573	0.111313222599341	10.0610968989443	8.20786815993712e-24	1.07657828939593e-21
FBgn0034588	CG9394	CG9394	71.2520253651439	-1.919501342839	0.192384739029471	-9.97740960391329	1.91398287419134e-23	2.47354139682257e-21
FBgn0035772	Sh3beta	CG8582	51.398935070145	-2.28653435564735	0.229426611402393	-9.96629964445137	2.14055687966145e-23	2.72626287803838e-21
FBgn0030040	CG15347	CG15347	162.210940187511	1.07638981077626	0.10986558488878	9.79733382265179	1.15596527640685e-22	1.45123183558049e-20
FBgn0038826	Syp	CG17838	73.2509925166208	-1.85264592622421	0.189778332352792	-9.76215726661672	1.63636745994956e-22	2.02540806169531e-20
FBgn0038756	CG4783	CG4783	191.887848074403	1.02107223723888	0.105048071099463	9.72004746543216	2.4766601928829e-22	3.02290135764652e-20
FBgn0003941	RpL40	CG2960	232.593146037192	0.982365766850998	0.101494606508725	9.67899478251144	3.70339229535139e-22	4.4582755467874e-20
FBgn0005671	Vha55	CG17369	147.870104725801	-1.10595374327622	0.114758048954749	-9.63726512736644	5.56508533760119e-22	6.60891485768098e-20
FBgn0033777	CG17574	CG17574	63.1405174241841	-1.92368269822404	0.200215597529279	-9.60805612531123	7.39314925193404e-22	8.66279941679952e-20
FBgn0039310	CG11878	CG11878	154.465705984317	-1.05855481155426	0.112892919501999	-9.37662712793531	6.81168900410665e-21	7.8764635484328e-19
FBgn0035909	ergic53	CG6822	51.8133969008955	2.2603903589594	0.2422595285876	9.33044975418606	1.05422600314106e-20	1.20318676826021e-18
FBgn0030521	CtsB	CG10992	212.388862339091	-0.947897698124073	0.103055448274725	-9.19793872127142	3.64881760528315e-20	4.11100116861902e-18
FBgn0001218	Hsc70-3	CG4147	145.788608660693	1.05861298149196	0.115145360272702	9.19370940335608	3.79522943817316e-20	4.22183244337541e-18
FBgn0003748	Treh	CG9364	130.899756006913	1.11820845339917	0.123525588038458	9.05244387949021	1.39803704703034e-19	1.53574369616282e-17
FBgn0039778	Jon99Fi	CG18030	134.960692411999	1.11488940092759	0.123270877990215	9.04422373803554	1.50732303127798e-19	1.61540912181352e-17
FBgn0263234	Phae1	CG16996	161.239514544449	0.974115683272078	0.107700288877859	9.04468960502791	1.50090973875223e-19	1.61540912181352e-17
FBgn0263200	Galt	CG9232	52.2299032705464	-1.89346611158757	0.213339534997331	-8.87536438856144	6.97048200927138e-19	7.38031275873215e-17
FBgn0036945	Ssk	CG6981	112.345468043537	1.15633458075999	0.130321334429673	8.87294920528915	7.12338291802054e-19	7.45241536709101e-17
FBgn0000261	Cat	CG6871	125.762997112829	-1.09970119416635	0.124277838685995	-8.84873124439261	8.85198571830633e-19	9.15191182264424e-17
FBgn0026088	CG14818	CG14818	64.6172965643817	-1.89883863658773	0.215680383398866	-8.80394687112613	1.3208693586404e-18	1.34974417717812e-16
FBgn0266449	Kr-h2	CG9159	33.815478931433	2.60387843891181	0.297841999989516	8.74248238664616	2.28043441148345e-18	2.30350087449616e-16
FBgn0030688	CG8952	CG8952	148.387689760892	-1.00389862441723	0.11612029673297	-8.64533292337166	5.36486451306389e-18	5.35754878872789e-16
FBgn0262146	MtnE	CG42872	120.448969728411	1.09202286899732	0.129098646854615	8.45882505822935	2.70084853418388e-17	2.66686032791101e-15
FBgn0263396	sqd	CG16901	135.793995525365	0.991501587876419	0.117244560022467	8.45669588155236	2.75060039353382e-17	2.6858084731528e-15
FBgn0039537	Hsdl2	CG5590	111.430734521918	1.24313106210439	0.149892758095593	8.29346979733063	1.09991875895231e-16	1.06220725864537e-14
FBgn0033792	CG13325	CG13325	32.9733505291215	-2.46776189825506	0.303790129053388	-8.12324582745536	4.53878695611685e-16	4.33552823590814e-14
FBgn0039528	dsd	CG5634	125.932858330634	-1.07003800709532	0.132214679579407	-8.09318610081168	5.81239561380953e-16	5.49240136066216e-14
FBgn0001941	ifc	CG9078	120.543243467298	-1.06910095737641	0.133275585865723	-8.02173144039712	1.04264904950059e-15	9.74765941171401e-14
FBgn0028853	CG15263	CG15263	39.5025048147156	-2.1801862468324	0.272203195550384	-8.00940724602497	1.1526263174994e-15	1.06624000822997e-13
FBgn0026409	Mpcp2	CG4994	89.8432282360384	1.19463042373573	0.149956978505659	7.9664876929395	1.63247737798187e-15	1.49439699976091e-13
FBgn0034576	ND-B14.7	CG9350	102.955989808476	-1.12424674044574	0.141808511412771	-7.92792145722004	2.22844170487357e-15	2.0189222373638e-13
FBgn0083167	Neb-cGP	CG15304	138.043907471619	0.95724885885332	0.120780084937038	7.92555212518956	2.27134846956266e-15	2.03679697454251e-13
FBgn0011556	zetaTry	CG12387	143.062874497178	-0.908374541183087	0.114729257844651	-7.91754917837146	2.42237828773094e-15	2.15028892854338e-13
FBgn0052672	Atg8a	CG32672	92.1387344509476	-1.18133520869122	0.151211302879291	-7.81247953160125	5.60737525002821e-15	4.92776136972479e-13
FBgn0031505	ND-B14.5B	CG12400	141.174825092555	0.961864918703973	0.123282029080288	7.80215028808097	6.08611041568765e-15	5.29551864683793e-13
FBgn0037065	CG12974	CG12974	100.925082414271	1.07632558039008	0.138850393130136	7.75169271131487	9.067560341572e-15	7.81232551781713e-13
FBgn0037973	CG18547	CG18547	108.425066100576	1.12670669659003	0.146316186898244	7.70049247779812	1.35542818900101e-14	1.15645659465446e-12
FBgn0036663	CG9674	CG9674	57.4034714339319	1.49122156061442	0.19433749959825	7.67335981834275	1.67548625110719e-14	1.41578588218558e-12
FBgn0038984	AdipoR	CG5315	36.193172713095	-1.99341316114025	0.265402586527044	-7.51090329308876	5.87207603217829e-14	4.91464801626503e-12
FBgn0013770	Cp1	CG6692	106.907490388419	-1.01822905502024	0.136621185761509	-7.45293674143408	9.12850598053676e-14	7.56804816575067e-12
FBgn0250814	UQCR-C2	CG4169	97.4750047037683	1.05078157271743	0.142553754550676	7.37112520136321	1.69193849891684e-13	1.38960332041881e-11
FBgn0263911	COX8	CG7181	117.111532211254	0.930345372151131	0.127181227141251	7.31511554860109	2.5716001054556e-13	2.09252053025405e-11
FBgn0013704	mt:tRNA:Arg-TCG	CR34078	112.242948677186	1.0166198730739	0.139406066761451	7.29250811453939	3.0423723748596e-13	2.4528778376391e-11
FBgn0034058	Pex11ab	CG8315	33.6835612189914	1.9037317574049	0.261617984608218	7.2767618031146	3.41928205763914e-13	2.73169552023025e-11
FBgn0266599	Hsc70-4	CG4264	89.3434776697449	-1.12636557120167	0.155336087353044	-7.25115194025517	4.13241785309006e-13	3.27168361197797e-11
FBgn0015834	eIF3i	CG8882	36.89457220806	-1.85237973258647	0.257852270350611	-7.18387986294525	6.77604119631847e-13	5.31677232439703e-11
